Id,Name,Language,keywords
1036388,worship feast: 100 awesome ideas for postmodern youth,eng, jonathon_norman abingdon_press worship rituals worshiping feast meals
1060358,meaning of prayer,eng, harry_e._fosdick abingdon_press devotional prayer bible spiritual translated
1005360,if it could happen here,eng, jeff_patton abingdon_press churches church pastoring worship membership
1006130,the pastor's start-up manual: beginning a new pastorate (leadership insight series),eng, robert_h._ramey_jr. abingdon_press pastorate pastors clergy seminary sermon
1090287,preaching while the church is under reconstruction: the visionary role of preachers in a fragmented world,eng, thomas_h._troeger abingdon_press preaching preacherthe worship preacher preachers
1045523,black people: for entertainment purposes only,eng, w._ivan_wright able_journey_press jurney jurneys thriller book black
1094290,self perception,eng, richard_riding ablex_publishing_corporation selfreference self selfperception psychology psychologists
1055166,communications at the crossroads: the gender gap connection,eng, brenda_dervin ablex_publishing_corporation womens women communication communications media
1021752,organizational life on television,eng, leah_vande_berg ablex_publishing_corporation television occupations industries prime organizational
1041327,cultural legacies of vietnam: uses of the past in the present,eng, richard_joseph_morris ablex_publishing_corporation vietnam veterans memorials memorial speeches
1061597,"intelligence and exceptionality: new directions for theory, assessment, and instructional practices",eng, jeanne_d._day ablex_publishing_corporation intelligence exceptionality intellectual gifted exceptional
1048610,24 hour comics day highlights 2004,eng, nat_gertler about_comics comics comic cartoonists 24page creators
1048611,24 hour comics day highlights,eng, nat_gertler about_comics comics cartoonists comic 24page hours
1009605,"orcagna's tabernacle in orsanmichele, florence",eng, gert_kreytenberg abrams tabernacle orcagna shrine renaissance florence
1028470,"cascadia: a tale of two cities, seattle and vancouver, b.c.",eng, morton_beebe abrams vancouver cascade mt cascades mountains
1079951,north: adventures in the frozen wild,eng, nicolas_vanier abrams adventures expeditions novels wild nomadic
1083172,walker evans simple secrets: photographs from the collection of marian and benjamin a. hill,eng, ellen_fleurov abrams photographs photographer evans museum walker
1006583,belles lettres: manuscripts by the masters of french literature,eng, roselyne_de_ayala abrams manuscripts literary french bibliophiles rene
1009442,rings: five passions in world art,eng, michael_edward_shapiro abrams exhibition olympic art arts museum
1026846,american expressionism: art and social change 1920-1950,eng, bram_dijkstra abrams expressionism art artists painting 1920s
1094680,petra rediscovered: lost city (museum edition) of the nabataeans,eng, glenn_e._markoe abrams_books_for_young_readers petra excavations excavationsthis archaeologists archaeology
1005747,norman rockwell: 60 year retrospective,eng, thomas_s._buechner abrams_books_for_young_readers paintings artwork art photographs sketches
1006830,dr. jac's reading writing workshop primer,eng, joyce_armstrong_carroll absey_&_company readingwriting workshop literacy teaching teacher
1028285,the venetian twins / mirandolina: two plays,eng, carlo_goldoni absolute_classics venetian goldonis goldoni mirandolina twins
1030048,momma cherri's soul in a bowl cookbook,eng, charita_jones absolute_press cuisine soul food cornbread dishes
1028577,cop talk: essential communication skills for community policing,eng, rick_braziel acada_books policecommunity cop policing officers communication
1050822,in defence of global capitalism,eng, johan_norberg academic_foundation antiglobalisation capitalism africa asia movement
1031655,labour market regulation and deregulation in asia: experiences in recent decades,eng, caroline_brassard academic_foundation regulation regulations labor deregulation students
1032994,studyguide for trusted criminals,eng, david_o._friedrichs academic_internet_publishers textbook cram101 outlines highlight notes
1020632,streams: their ecology and life,eng, colbert_e._cushing academic_press rivers aquatic streams trout ecology
1011391,"advances in heat transfer, volume 38",eng, james_p._hartnett academic_press heat engineers researchers industry industrial
1063688,"introduction to microcontrollers: architecture, programming, and interfacing for the freescale 68hc12",eng, g._jack_lipovski academic_press programming compiler assembler microcontroller microcomputers
1032722,"digital evidence and computer crime: forensic science, computers and the internet",eng, eoghan_casey academic_press forensic crimes crime investigation criminals
1012304,practical parallel programming,eng, barr_e._bauer academic_press processors parallel fortran simulations coding
1030134,statistical orbit determination,eng, byron_d._tapley academic_press orbit algorithms squares accuracy gauss
1011571,the cardiovascular system,eng, w._s._hoar academic_press vertebrates fish cardiovascular venous circulation
1002193,"the psychology of learning and motivation, volume 29: categorization by humans and machines",eng, glenn_v._nakamura academic_press researchers research psychology cognitive scientific
1050247,evolution of primary producers in the sea,eng, paul_g._falkowski academic_press phytoplankton photosynthesis ecology phylogeny sea
1070866,encyclopedia of forensic and legal medicine: 1-4,eng, jason_payne-james academic_press forensic judicial investigative legal medical
1063121,simulation,en-US, sheldon_m._ross academic_press simulation simulated stochastic actuaries statistics
1069805,handbook of computer crime investigation: forensic tools and technology,eng, eoghan_casey academic_press forensic investigations investigation crime software
1072301,rivers of north america,eng, art_benke academic_press rivers hydrology river basinregion ecologists
1023393,apes of the world,eng, russell_h._tuttle academic_press apes naturalistic behavioral humanoid ecology
1087161,plant growth and development: hormones and environment,eng, lalit_m._srivastava academic_press plants hormones plant hormonal drought
1085332,"international review of research in mental retardation, volume 30: neurotoxicity and developmental disabilities",eng, laraine_masters_glidden academic_press neurotoxicity neurotoxicants toxin pesticides autism
1043517,an introduction to the mathematics of financial derivatives,eng, salih_n._neftci academic_press derivativesthis pricing derivativesthe derivatives derivative
1036082,introduction to the graphical kernal system (gks),eng, f.r.a._hopgood academic_press graphics graphical fortran kernel programmer
1083401,clinical strategies for becoming a master psychotherapist,eng, william_t._o'donohue academic_press psychotherapy therapists psychotherapists therapeutic surgeons
1035756,grounding grounded theory: guidelines for qualitative inquiry,eng, ian_dey academic_press persuasive grounded qualitative methodological methodology
1077062,operations research for libraries and information agencies: techniques for the evaluation of management decision alternatives,eng, donald_h._kraft academic_press library scientific processes mathematical theoretical
1016245,land of green ginger the,eng, winifred_holtby academy_chicago_publishers leigh tuberculosis lancashire boredom joanna
1020009,tempestuous petticoat,eng, clare_leighton academy_chicago_publishers novels household author potboiling edwardian
1071007,the trial of levi weeks: or the manhattan well mystery,eng, estelle_fox_kleiger academy_chicago_publishers accused murder crime accusedthe trial
1076985,the lady and her doctor,eng, evelyn_piper academy_chicago_publishers sloane krop murder milton conflicts
1051475,walking in andalucia: the best walks in southern spain's natur,eng, guy_hunter-watts academy_chicago_publishers walks walk andalucias thirtyfour villages
1058375,bridge builders,eng, richard_jobson academy_press bridges builders bridge building architects
1065603,world cities: shanghai,eng, alan_balfour academy_press shanghai shanghais cities citys city
1064390,closing the distance: chasing a father's olympic fencing legacy,eng, jeff_bukantz acanthus_publishing distance olympic olympics fencing closing
1027590,george forrest plant hunter,eng, brenda_mclean acc_distribution forrest forrests plants yunnan gardening
1090165,a pre-raphaelite marriage: the lives and works of marie spartali stillman and william james stillman,eng, david_b._elliot acc_distribution stillman crayon art painted photographer
1020735,handel's warthog music,eng, simon_drew acc_distribution drew simon talents music amusement
1028502,rose and the clematis,eng, john_howells acc_distribution planting gardening climbing plants grower
1060469,ocean liner postcards,eng, robert_wall acc_distribution painters marine art postcards century
1017102,treen for the table: wooden objects relating to eating and drinking,eng, jonathan__levi acc_distribution turners art century treen celebrates
1023480,"the boy i love (the boy i love trilogy, #1)",eng,"the_boy_i_love_trilogy,_#1 marion_husband accent_press_(uk) margot paul betrayal homosexuality tangled"
1086569,malaga burning: an american woman's eyewitness account of the spanish civil war,eng, gamel_woolsey access_publishers_network malaga burningan civil woolsey war
1076692,riverine operations: vietnam studies 1966-1969,eng, william_b._fulton acclaim_press riverine vietnam army navy operations
1044323,barnyard boogie: original puppet book,eng," jim_post accord_publishing,_a_division_of_andrews_mcmeel barnyard singsong puppet hand lend"
1090283,cybernetic jungle,eng, s.n._lewitt ace paulo brazilian revenge zaide dreams
1044430,"the laughing corpse (anita blake, vampire hunter #2)",eng,"anita_blake,_vampire_hunter_#2 laurell_k._hamilton ace zombie zombieand vampire anita killer"
1001552,"the warlock in spite of himself (warlock, #1)",eng,"warlock,_#1 christopher_stasheff ace witches warlocks warlock stasheffs novel"
1090284,blind justice,eng, s.n._lewitt ace mary saintjust saintjustthe martyrs ghost
1038717,vampires of vermont (news from the edge #3),eng,news_from_the_edge_#3 mark_sumner ace tabloids weirdshockingbizarrevampire murderedsaves mysteriously headlinesavvy
1045313,"drink down the moon (jack of kinrowan, #2)",eng,"jack_of_kinrowan,_#2 charles_de_lint ace jacky jack thief faerie giantkiller"
1002738,the magic goes away,eng, larry_niven ace magicians spells mana magic achaean
1062439,hyperthought,eng, m.m._buckner ace 2125 toxic humanitys world destroy
1088595,the souix spaceman,eng, andre_norton ace kade whitehawk sioux slaves klor
1058598,"daughter of witches (lyra, #2)",eng,"lyra,_#2 patricia_c._wrede ace chaldon witches drinn escape shadow"
1090285,songs of chaos,eng, s.n._lewitt ace dante novel cybernetic author jungle
1090291,"dancing vac (cyberstealth, #2)",eng,"cyberstealth,_#2 s.n._lewitt ace flying fly flight alien ghoster"
1004515,the red sky file,eng, denise_vitola ace waters river sailor merrick rivers
1071615,the many faces of van helsing,eng, jeanne_cavelos ace dracula vampire hunter bram van
1085301,faraday's orphans,eng, n._lee_wood ace saydonya pilot stranded nielson berk
1080580,"alien blues (david silver, #1)",eng,"david_silver,_#1 lynn_s._hightower ace detective alien silver david murder"
1086701,"key to conflict (gillian key, paradoc #1)",eng,"gillian_key,_paradoc_#1 talia_gryphon ace dracula gillians gillian psychologist vampireand"
1017301,"companions (laws of the blood, #3)",eng,"laws_of_the_blood,_#3 susan_sizemore ace selena detective homicide crawford vampire"
1028395,twilight's burning,eng, diane_guest ace susannah land landand sylvanus countryside
1086496,the bloody sun (darkover),eng, marion_zimmer_bradley ace terran darkover darkovan terrani novel
1073006,wayward moon,eng, denny_demartino ace philipa forensic murder astrologer cyprion
1017303,deceptions,eng, susan_sizemore ace olympias servant washington enforcer reigned
1074318,cat-a-lyst,eng, alan_dean_foster ace catmovie incas carter civilization carters
1026789,a calculated magic,eng, robert_e._weinberg ace magician merlin collins vegas mountain
1096245,seaserpents!,eng, jack_dann ace anthology shortstory storiescontents novella leviathan
1003918,beyond flesh,eng, jack_dann ace technotales fleshix adventures planets technology
1065838,"shattered glass (austra family, #1)",eng,"austra_family,_#1 elaine_bergstrom ace vampire vampires stephen austra restorations"
1070774,"the lunatic cafe (anita blake, vampire hunter, #4)",eng,"anita_blake,_vampire_hunter,_#4 laurell_k._hamilton ace werewolves vampires werewolf slugfests volunteer"
1022229,"the sorcerer's lady (sorcerer, #1)",eng,"sorcerer,_#1 paula_volsky ace verran sorcerers verrans sorcery dread"
1065835,"blood to blood (dracula continues, #2)",eng,"dracula_continues,_#2 elaine_bergstrom ace draculas blood dark sister legacy"
1065837,"nocturne (austra family, #5)",eng,"austra_family,_#5 elaine_bergstrom ace vampires novel austra lovers deadly"
1086499,the world wreckers,eng, marion_zimmer_bradley ace darkover novel colonization terran worldwreckers
1034167,expecting someone taller,eng, tom_holt ace malcolm ring curse magic fisher
1022226,"the sorcerer's curse (sorcerer, #3)",eng,"sorcerer,_#3 paula_volsky ace darkness king bloods curse feared"
1033417,"the timekeeper conspiracy (time wars, #2)",eng,"time_wars,_#2 simon_hawke ace timekeepers temporal time forever lucas"
1070565,hit or myth (myth adventures #4),eng,myth_adventures_#4 robert_lynn_asprin ace_books skeeve rodrick king demon mobs
1090282,"cyberstealth (cyberstealth, #1)",eng,"cyberstealth,_#1 s.n._lewitt ace_books pilot aliens batwings batwing cardia"
1005153,"galveston (resurrection man, #3)",eng,"resurrection_man,_#3 sean_stewart ace_books galveston sloane carnival mardi gras"
1061925,the moon is a harsh mistress,eng, robert_a._heinlein ace_books revolution novel revolts revolutions rebellion
1009576,"safari for spies (killmaster, #4)",eng,"killmaster,_#4 nick_carter ace_books nyanga ussr bombed bombing embassy"
1086500,seven from the stars,eng, marion_zimmer_bradley ace_books humanity enemy earth survive destroyed
1038716,"insanity, illinois (news from the edge, #2)",eng,"news_from_the_edge,_#2 mark_sumner ace_books calls callsfrom housewife farmer day"
1058603,"talking to dragons (enchanted forest chronicles, #4)",eng,"enchanted_forest_chronicles,_#4 patricia_c._wrede ace_books sword daystar magicquest daystars dragon"
1035750,song for the basilisk,eng, patricia_a._mckillip ace_hardcover rook nightmares haunted powerhungry basilisk
1026526,the lady in the loch,eng, elizabeth_ann_scarborough ace_hardcover edinburgh haunted loch scotts killings
1005156,resurrection man,eng, sean_stewart ace_trade dante passion novel author death
1082419,"come armageddon (tathea, #2)",eng,"tathea,_#2 anne_perry ace_trade tathea sihinabar empress mystical battle"
1001564,good omens,eng, terry_pratchett ace_trade motorcycles apocalypse horsemen ride murphys
1082027,coach your teen to success: 7 simple steps to transform relationships and enrich lives,eng," barbara_mcrae,_mcc achievers_trade_press parenting parentteen teens parents teen"
1024680,science: the endless frontier,eng, vannevar_bush acls_history_e-book_project scientific research science roosevelt 1945
1050406,the greek myths: complete and unabridged,eng, robert_graves acorn_alliance greek myths literature graves greece
1040190,the black violin,eng, maxence_fermine acorn_book_company enzymes hydrolysis proteases protein catalyze
1037431,seeds of consciousness: the wisdom of sri nisargadatta maharaj,eng, nisargadatta_maharaj acorn_press consciousness dunn seeds nisargadatta books
1069662,along lot 7 shore folksongs &,eng, donnie_doyle acorn_press_(cn) songs lyrics songwriter donnie tragedies
1044538,awakening mystical consciousness,eng, joel_s._goldsmith acropolis_books_(ga) mystical spiritual enlightenment awakening consciousness
1098208,1954 infinite way letters,eng, joel_s._goldsmith acropolis_books_(ga) teachings godrealization consciousness infinite letters
1055089,the early years: the 1932-1946 letters,eng, joel_s._goldsmith acropolis_books_(ga) joel healing practitioner patients spiritual
1032472,strat-o-matic fanatics: the unlikely success story of a game that became an american passion,eng, glenn_guzzo acta_publications baseball sports recreationof game hobbys
1027340,daily meditations with scripture for busy moms,eng, patricia_m._robertson acta_publications motherhood meditation verses moms spiritual
1070667,verb conditioning (architecture boogazine),eng, albert_ferre actar conditioning environments sophistication effects behaviors
1043567,art and utopia -limited action,eng, jean-françois_chevrier actar modernity art exhibition contemporary mallarma
1070666,verb connection,eng, jaime__salazar actar urbanisms urban cities city virtual
1073707,yokohama project-foreign office arch.,eng, tomoko_sakamoto actar yokohama building buildings architectural architecture
1040703,girls are weird,eng, vane actar_d girls dolls boys weird nightmares
1029977,what i did on my hypergalactic interstellar summer vacation,eng, adam_beechen actionopolis/komikwerks prince summer tedium adventure teddy
1040884,heart of a hooligan,eng, paul_alkazraji acw_press paul jeal jesus david alkazraji
1049933,magnify your vision for the small church,eng, john_rowell acw_press church mission agency inspiring strategic
1042172,thucydides mythistoricus,eng, francis_macdonald_cornford adamant_media_corporation copyright preserved copy preservation scholars
1086776,brewster's millions,eng, george_barr_mccutcheon adamant_media_corporation lavish gambling montys monty spend
1033554,the only writing series you'll ever need   screenwriting: insider tips and techniques to write for the silver screen!,eng, madeline_dimaggio adams_media screenwriting screenwriterideal writers needwriting scripts
1012035,resume handbook 4th edition,eng, arthur_d._rosenberg adams_media resumes resume emails applications tailoring
1090531,"the knitter's gift: an inspirational bag of words, wisdom, and craft",eng, bernadette_murphy adams_media knitters knitting knit gifts giftwritten
1058740,questions to bring you closer to dad: 100+ conversation starters for fathers and children of any age!,eng, stuart_gustafson adams_media father dad relationship loves closer
1007119,innovation: create an idea culture. redefine your business. grow your profits,eng, tom_gorman adams_media innovation products opportunities successful marketplace
1057545,closing techniques: that really work,eng, stephan_schiffman adams_media bestselling closing sales book sale
1002638,streetwise finance & accounting,eng, suzanne_caplan adams_media financial business stories anecdotes sidebars
1035901,101 things you didn't know about shakespeare: his secret loves! his artistic feuds! his biggest flops!,eng, janet_ware adams_media shakespeare student academic university william
1068595,"dog people do it better: 200 ways our dogs teach us to love, laugh, and loosen up",eng, theresa_mancuso adams_media dogs dog happiness life love
1001657,"you can't have him, he's mine: a woman's guide to affair-proofing her relationship",eng, marie_h._browne adams_media affair wives marriage relationships relationship
1057547,the 25 sales skills: they don't teach at business school,eng, stephan_schiffman adams_media salespeople sales schiffmans schiffman career
1057546,stephan schiffman's 101 successful sales strategies: top techniques to boost sales today,eng, stephan_schiffman adams_media miracles miraclesa inspire coincidences grace
1019608,cover letters that knock em'  dead-1998,eng, martin_yate adams_media hiring letter attention applications cover
1031732,"healing the sensitive heart: how to stop getting hurt, build your inner strength, and find the love you deserve",eng, debra_mandel adams_media_corporation sensitivehearted relationship lovedstep relationships love
1084483,fastread buying & leasing car all steps you need to know to get the car you want,eng, tere_drenth adams_media_corporation fastread quickfix rm readers gettothepoint
1020915,magick for the wild woman,eng, marian_singer adams_media_corporation shy breakups magick spellbook boss
1035351,the everything after college book; real-world advice for surviving and thriving on your own,eng, leah_furman adams_media_corporation books rm book readers reading
1064925,"exporting, importing & beyond",eng, lawrence_w._tuller adams_media_corporation exporting export importing foreign import
1032290,"romantic antics: creative ideas for successful first dates, adventurous saturday nights, and playful long weekends",eng, joy_decker adams_media_corporation romance romantic kevin couples affair
1034278,"easy cooking for special diets: how to cook for weight loss/blood sugar control, food allergy, heart healthy, diabetic, and just healthy diets even if",eng, nicolette_m._dumke adapt_books recipes diets cooking cook diet
